,Name,Current Price,Category,Store
0,"Great Value Large White Eggs, 12 Count ",2.78,Eggs,Walmart
1,"Great Value Jumbo White Eggs, 12 Count ",3.47,Eggs,Walmart
2,"Marketside Large Cage-Free Brown Eggs, 12 Count ",3.58,Eggs,Walmart
3,"Eggland's Best Large White Eggs, 12 Count ",2.96,Eggs,Walmart
4,"Eggland's Best Cage Free Large, Brown Eggs, 12 Count ",4.14,Eggs,Walmart
5,"Marketside Organic Cage-Free Large Brown Eggs, 12 Count ",4.42,Eggs,Walmart
6,"Eggland's Best Extra Large White Eggs, 12 Count ",3.18,Eggs,Walmart
7,"Vital Farms Pasture Raised Grade A Large Brown Eggs, 12 Count ",6.12,Eggs,Walmart
8,"Pete and Gerry's Organic Free Range Large Brown Eggs, 12 Count ",5.18,Eggs,Walmart
9,"Great Value Pure Granulated Sugar, 4 lb ",3.24,Sugar,Walmart
10,"Great Value Pure Granulated Sugar, 10lb ",7.68,Sugar,Walmart
11,"Domino Premium Pure Cane Granulated Sugar, 1 lb Box ",1.72,Sugar,Walmart
12,"Domino Premium Pure Cane Granulated Sugar, 4 lb ",4.54,Sugar,Walmart
13,"Great Value Pure Granulated Sugar, 25 Lb ",18.76,Sugar,Walmart
14,"Great Value Organic Granulated Cane Sugar, 2 Lb ",3.14,Sugar,Walmart
15,"Domino Pure Cane Granulated Golden Sugar, 1.75 lb ",2.24,Sugar,Walmart
16,"Lactaid 2% Reduced Fat Milk, 64 oz ",4.48,Milk,Walmart
17,"Parmalat 2% Reduced Fat Milk, 32 fl oz (Shelf-Stable) ",2.98,Milk,Walmart
18,"Parmalat Lactose Free 2% Reduced Fat Milk, 32 fl oz ",2.98,Milk,Walmart
19,"Tuscan Dairy Farms 2% Reduced Fat Milk with Vitamin A and Vitamin D,  Milk Quart - 1 Milk Bottle ",1.98,Milk,Walmart
20,"fairlife Lactose Free 2% Reduced Fat Ultra Filtered Milk, 52 fl oz ",4.48,Milk,Walmart
21,"a2 Milk, Ultra-Pasteurized 2% Reduced Fat Milk, 59 fl oz. ",3.97,Milk,Walmart
22,"Great Value Organic 2% Reduced Fat Milk, Half Gallon, 64 fl oz ",3.98,Milk,Walmart
23,"Great Value Organic Reduced Fat 2% Milk, 1 Gallon ",6.98,Milk,Walmart
24,"Great Value Lactose Free 2% Reduced Fat Milk, Half Gallon, 64 fl oz ",3.38,Milk,Walmart
25,"McCormick Pure Vanilla Extract, 2 fl oz Baking Extracts ",6.97,Vanilla Extract,Walmart
26,"Great Value Pure Vanilla Extract, 2 fl oz (Food Form: Liquid, Plastic Container) ",5.72,Vanilla Extract,Walmart
27,"Baker's Imitation Vanilla Flavor, 8 fl oz ",1.46,Vanilla Extract,Walmart
28,"McCormick Pure Vanilla Extract, 2 fl oz Baking Extracts ",6.97,Vanilla Extract,Walmart
29,"Great Value Pure Vanilla Extract, 1 fl oz (Ambient, Plastic Container) ",3.94,Vanilla Extract,Walmart
30,"Molina Mexican Vanilla Blend, 8.3 FL OZ ",1.58,Vanilla Extract,Walmart
31,"Watkins Baking Vanilla, 8 fl oz (Plastic Container) ",8.98,Vanilla Extract,Walmart
32,"Kerrygold Grass-Fed Pure Irish Unsalted Butter, 8 oz 2 Sticks ",4.27,Butter,Walmart
33,"Great Value Sweet Cream Unsalted Butter Sticks, 4 Count,16 oz ",3.98,Butter,Walmart
34,"Kerrygold Grass-Fed Pure Irish Unsalted Butter, 8 oz 2 Sticks ",4.27,Butter,Walmart
35,"Horizon Organic Unsalted Butter Sticks, 16 oz 4 Count ",7.12,Butter,Walmart
36,"(20 Pack)Kerrygold Unsalted Butter, 8 oz. ",135.47,Butter,Walmart
37,"Nestle Toll House Semi Sweet Chocolate Baking Chips, 12 oz Bag ",2.98,Chocolate Chips,Walmart
38,"Great Value Semi-Sweet Chocolate Baking Chips, 12 oz Bag ",2.62,Chocolate Chips,Walmart
39,"Nestle Toll House Semi Sweet Chocolate Mini Baking Chips, 10 oz Bag ",2.98,Chocolate Chips,Walmart
40,"Great Value Mini Semi-Sweet Chocolate Baking Chips, 12 oz Bag ",2.32,Chocolate Chips,Walmart
